Model_version,Image_name,Host,Class,Total_detections,Confidence_threshold,Total_GT,Missed_GT,Average_IoU,Number_objects_in_image,Precision,Recall,Overall_Precision,Overall_Recall
209,327-100ppm,Bean,Viable_egg,5,0.2,5,0,0.935,10,1,1,0.636,0.7
209,327-100ppm,Bean,Dead_mite,1,0.2,4,3,0.228,10,1,0.25,0.636,0.7
209,327-100ppm,Bean,Adult_female,5,0.2,1,0,0.951,10,0.2,1,0.636,0.7
209,335-200ppm,Bean,Dead_mite,2,0.2,3,1,0.594,3,1,0.667,0.5,0.667
209,335-200ppm,Bean,Adult_female,1,0.2,0,0,0,3,0,0,0.5,0.667
209,335-200ppm,Bean,Immature,1,0.2,0,0,0,3,0,0,0.5,0.667
209,324-100ppm,Bean,Viable_egg,3,0.2,4,1,0.705,7,1,0.75,0.857,0.857
209,324-100ppm,Bean,Dead_mite,3,0.2,3,0,0.907,7,1,1,0.857,0.857
209,324-100ppm,Bean,Adult_female,1,0.2,0,0,0,7,0,0,0.857,0.857
209,309-25ppm,Bean,Adult_female,1,0.2,1,0,0.949,10,1,1,1,1
209,309-25ppm,Bean,Viable_egg,9,0.2,9,0,0.935,10,1,1,1,1
209,310-25ppm,Bean,Viable_egg,15,0.2,15,0,0.913,19,1,1,0.95,1
209,310-25ppm,Bean,Immature,1,0.2,0,0,0,19,0,0,0.95,1
209,310-25ppm,Bean,Adult_female,4,0.2,4,0,0.914,19,1,1,0.95,1
209,297-12_5ppm,Bean,Viable_egg,10,0.2,10,0,0.929,13,1,1,1,1
209,297-12_5ppm,Bean,Dead_mite,1,0.2,1,0,0.905,13,1,1,1,1
209,297-12_5ppm,Bean,Adult_female,2,0.2,2,0,0.918,13,1,1,1,1
209,300-12_5ppm,Bean,Adult_male,1,0.2,1,0,0.885,7,1,1,0.833,0.714
209,300-12_5ppm,Bean,Immature,1,0.2,1,0,0.759,7,1,1,0.833,0.714
209,300-12_5ppm,Bean,Dead_mite,2,0.2,2,1,0.425,7,0.5,0.5,0.833,0.714
209,300-12_5ppm,Bean,Adult_female,0,0.2,1,1,0,7,0,0,0.833,0.714
209,300-12_5ppm,Bean,Viable_egg,2,0.2,2,0,0.951,7,1,1,0.833,0.714
209,305-25ppm,Bean,Dead_mite,1,0.2,1,0,0.904,6,1,1,1,1
209,305-25ppm,Bean,Immature,1,0.2,1,0,0.83,6,1,1,1,1
209,305-25ppm,Bean,Adult_female,2,0.2,2,0,0.907,6,1,1,1,1
209,305-25ppm,Bean,Viable_egg,2,0.2,2,0,0.884,6,1,1,1,1
209,301-12_5ppm,Bean,Viable_egg,6,0.2,6,0,0.941,10,1,1,0.9,0.9
209,301-12_5ppm,Bean,Immature,1,0.2,1,0,0.797,10,1,1,0.9,0.9
209,301-12_5ppm,Bean,Adult_female,3,0.2,2,0,0.877,10,0.667,1,0.9,0.9
209,301-12_5ppm,Bean,Dead_mite,0,0.2,1,1,0,10,0,0,0.9,0.9
209,321-100ppm,Bean,Viable_egg,2,0.2,2,0,0.947,5,1,1,0.5,0.6
209,321-100ppm,Bean,Immature,1,0.2,0,0,0,5,0,0,0.5,0.6
